	D1-35	D10-7	D11-1	D2-1-6	D2-2	D3-D-27	D3-K-57	D4-185	D5-8	D6-5	D7-157	D8-8	D9-4
maker-SEQ_1717461-augustus-gene-0.2-mRNA-1	genemark-SEQ_619875-processed-gene-0.2-mRNA-1	genemark-SEQ_1712845-processed-gene-0.0-mRNA-1	maker-SEQ_3491549-augustus-gene-0.2-mRNA-1	maker-SEQ_2584435-augustus-gene-0.3-mRNA-1	genemark-SEQ_1589172-processed-gene-0.6-mRNA-1	genemark-SEQ_1572772-processed-gene-0.1-mRNA-1	genemark-SEQ_1038375-processed-gene-0.1-mRNA-1	maker-SEQ_2226941-augustus-gene-0.2-mRNA-1	maker-SEQ_1618859-augustus-gene-0.2-mRNA-1	maker-SEQ_1609871-augustus-gene-0.2-mRNA-1	maker-SEQ_1532573-augustus-gene-0.10-mRNA-1	maker-SEQ_3596777-augustus-gene-0.2-mRNA-1
maker-SEQ_1717587-augustus-gene-0.2-mRNA-1	maker-SEQ_610097-augustus-gene-0.52-mRNA-1	maker-SEQ_1742840-augustus-gene-0.2-mRNA-1	maker-SEQ_870281-augustus-gene-0.2-mRNA-1	maker-SEQ_2531409-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1561087-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1311740-processed-gene-0.0-mRNA-1	maker-SEQ_3071639-augustus-gene-0.3-mRNA-1	augustus_masked-SEQ_1374651-processed-gene-0.0-mRNA-1	maker-SEQ_1325740-augustus-gene-0.2-mRNA-1	maker-SEQ_3119358-augustus-gene-0.2-mRNA-1	maker-SEQ_1502746-augustus-gene-0.2-mRNA-1	maker-SEQ_3192784-augustus-gene-0.2-mRNA-1
genemark-SEQ_1717286-processed-gene-0.3-mRNA-1	genemark-SEQ_619228-processed-gene-0.6-mRNA-1	genemark-SEQ_1725998-processed-gene-0.0-mRNA-1	genemark-SEQ_3533622-processed-gene-0.4-mRNA-1	genemark-SEQ_2577021-processed-gene-0.1-mRNA-1	genemark-SEQ_1557942-processed-gene-0.0-mRNA-1	genemark-SEQ_1593052-processed-gene-0.3-mRNA-1	maker-SEQ_3052514-augustus-gene-0.6-mRNA-1	genemark-SEQ_3228804-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1642874-processed-gene-0.3-mRNA-1	maker-SEQ_1284766-augustus-gene-0.6-mRNA-1	genemark-SEQ_1515542-processed-gene-0.1-mRNA-1	maker-SEQ_1352439-augustus-gene-0.6-mRNA-1
maker-SEQ_1717749-augustus-gene-0.3-mRNA-1	maker-SEQ_621939-augustus-gene-0.12-mRNA-1	maker-SEQ_1719110-augustus-gene-0.2-mRNA-1	maker-SEQ_3509852-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_2551127-processed-gene-0.2-mRNA-1	maker-SEQ_1611520-augustus-gene-0.6-mRNA-1	maker-SEQ_1595940-augustus-gene-0.2-mRNA-1	genemark-SEQ_539069-processed-gene-0.1-mRNA-1	maker-SEQ_709658-augustus-gene-0.2-mRNA-1	maker-SEQ_1612432-augustus-gene-0.3-mRNA-1	maker-SEQ_3164559-augustus-gene-0.2-mRNA-1	maker-SEQ_1528744-augustus-gene-0.3-mRNA-1	maker-SEQ_983804-augustus-gene-0.2-mRNA-1
maker-SEQ_1717929-augustus-gene-0.8-mRNA-1	maker-SEQ_606008-augustus-gene-0.10-mRNA-1	maker-SEQ_1743737-augustus-gene-0.3-mRNA-1	maker-SEQ_3524938-augustus-gene-0.3-mRNA-1	maker-SEQ_2544362-augustus-gene-0.4-mRNA-1	maker-SEQ_1014922-augustus-gene-0.7-mRNA-1	maker-SEQ_415759-augustus-gene-0.4-mRNA-1	maker-SEQ_949366-augustus-gene-0.3-mRNA-1	maker-SEQ_1222289-augustus-gene-0.2-mRNA-1	maker-SEQ_1640683-augustus-gene-0.2-mRNA-1	maker-SEQ_2585124-augustus-gene-0.2-mRNA-1	maker-SEQ_1518755-augustus-gene-0.3-mRNA-1	maker-SEQ_3578094-augustus-gene-0.2-mRNA-1
maker-SEQ_1718350-augustus-gene-0.2-mRNA-1	maker-SEQ_614250-augustus-gene-0.7-mRNA-1	genemark-SEQ_1741282-processed-gene-0.1-mRNA-1	genemark-SEQ_3531559-processed-gene-0.1-mRNA-1	genemark-SEQ_2513351-processed-gene-0.0-mRNA-1	maker-SEQ_1611501-augustus-gene-0.7-mRNA-1	maker-SEQ_1583793-augustus-gene-0.2-mRNA-1	maker-SEQ_247019-augustus-gene-0.3-mRNA-1	genemark-SEQ_1356399-processed-gene-0.1-mRNA-1	maker-SEQ_1660326-augustus-gene-0.4-mRNA-1	maker-SEQ_553713-augustus-gene-0.2-mRNA-1	maker-SEQ_1494981-augustus-gene-0.2-mRNA-1	maker-SEQ_3595156-augustus-gene-0.2-mRNA-1
maker-SEQ_1718620-augustus-gene-0.4-mRNA-1	maker-SEQ_588211-augustus-gene-0.11-mRNA-1	genemark-SEQ_1783193-processed-gene-0.1-mRNA-1	maker-SEQ_3520749-augustus-gene-0.2-mRNA-1	genemark-SEQ_2382345-processed-gene-0.1-mRNA-1	genemark-SEQ_1547681-processed-gene-0.0-mRNA-1	genemark-SEQ_1571094-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_1151982-processed-gene-0.1-mRNA-1	genemark-SEQ_1886606-processed-gene-0.4-mRNA-1	maker-SEQ_1614093-augustus-gene-0.5-mRNA-1	maker-SEQ_3191391-augustus-gene-0.7-mRNA-1	maker-SEQ_1527347-augustus-gene-0.7-mRNA-1	genemark-SEQ_3557524-processed-gene-0.3-mRNA-1
genemark-SEQ_1718620-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_588211-processed-gene-0.1-mRNA-1	genemark-SEQ_1783193-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3501969-processed-gene-0.0-mRNA-1	genemark-SEQ_2382345-processed-gene-0.0-mRNA-1	genemark-SEQ_1547681-processed-gene-0.1-mRNA-1	maker-SEQ_1571094-augustus-gene-0.6-mRNA-1	genemark-SEQ_1151982-processed-gene-0.2-mRNA-1	genemark-SEQ_1886606-processed-gene-0.3-mRNA-1	genemark-SEQ_1614093-processed-gene-0.2-mRNA-1	genemark-SEQ_3191391-processed-gene-0.1-mRNA-1	genemark-SEQ_1527347-processed-gene-0.0-mRNA-1	genemark-SEQ_3557524-processed-gene-0.2-mRNA-1
maker-SEQ_1717992-augustus-gene-0.9-mRNA-1	maker-SEQ_588838-augustus-gene-0.24-mRNA-1	maker-SEQ_1764103-augustus-gene-0.20-mRNA-1	maker-SEQ_3528560-augustus-gene-0.2-mRNA-1	maker-SEQ_822095-augustus-gene-0.13-mRNA-1	maker-SEQ_1575353-augustus-gene-0.13-mRNA-1	maker-SEQ_1628533-augustus-gene-0.9-mRNA-1	maker-SEQ_1185990-augustus-gene-0.5-mRNA-1	maker-SEQ_4856994-augustus-gene-0.5-mRNA-1	maker-SEQ_1647809-augustus-gene-0.11-mRNA-1	genemark-SEQ_1620919-processed-gene-0.1-mRNA-1	maker-SEQ_1532955-augustus-gene-0.11-mRNA-1	maker-SEQ_2810545-augustus-gene-0.2-mRNA-1
augustus_masked-SEQ_1718260-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_581542-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1722026-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_3153256-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2502121-processed-gene-0.8-mRNA-1	genemark-SEQ_1596095-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1611101-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1856783-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_735309-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1648731-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_3176118-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1521693-processed-gene-0.4-mRNA-1	genemark-SEQ_3607001-processed-gene-0.3-mRNA-1
maker-SEQ_1718260-augustus-gene-0.10-mRNA-1	maker-SEQ_581542-augustus-gene-0.7-mRNA-1	maker-SEQ_1722026-augustus-gene-0.6-mRNA-1	maker-SEQ_3153256-augustus-gene-0.7-mRNA-1	maker-SEQ_2502121-augustus-gene-0.12-mRNA-1	genemark-SEQ_1596095-processed-gene-0.2-mRNA-1	maker-SEQ_1611101-augustus-gene-0.6-mRNA-1	genemark-SEQ_2102720-processed-gene-0.1-mRNA-1	maker-SEQ_735309-augustus-gene-0.4-mRNA-1	maker-SEQ_1648731-augustus-gene-0.6-mRNA-1	augustus_masked-SEQ_3150669-processed-gene-0.1-mRNA-1	maker-SEQ_1521693-augustus-gene-0.6-mRNA-1	augustus_masked-SEQ_3607001-processed-gene-0.0-mRNA-1
maker-SEQ_1718098-augustus-gene-0.7-mRNA-1	maker-SEQ_616832-augustus-gene-0.14-mRNA-1	maker-SEQ_1745289-augustus-gene-0.6-mRNA-1	maker-SEQ_3433492-augustus-gene-0.2-mRNA-1	maker-SEQ_2574057-augustus-gene-0.5-mRNA-1	maker-SEQ_1604220-augustus-gene-0.8-mRNA-1	maker-SEQ_1004835-augustus-gene-0.2-mRNA-1	maker-SEQ_3113744-augustus-gene-0.5-mRNA-1	augustus_masked-SEQ_1349756-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_414574-processed-gene-0.1-mRNA-1	maker-SEQ_3220262-augustus-gene-0.2-mRNA-1	maker-SEQ_1507523-augustus-gene-0.3-mRNA-1	maker-SEQ_3605997-augustus-gene-0.2-mRNA-1
maker-SEQ_1718707-augustus-gene-0.3-mRNA-1	maker-SEQ_587361-augustus-gene-0.15-mRNA-1	maker-SEQ_1100685-augustus-gene-0.2-mRNA-1	maker-SEQ_3480178-augustus-gene-0.2-mRNA-1	maker-SEQ_2557136-augustus-gene-0.7-mRNA-1	maker-SEQ_1560745-augustus-gene-0.2-mRNA-1	maker-SEQ_1090619-augustus-gene-0.2-mRNA-1	genemark-SEQ_1466515-processed-gene-0.1-mRNA-1	maker-SEQ_4799270-augustus-gene-0.2-mRNA-1	maker-SEQ_695943-augustus-gene-0.2-mRNA-1	maker-SEQ_1716279-augustus-gene-0.2-mRNA-1	maker-SEQ_1500243-augustus-gene-0.2-mRNA-1	maker-SEQ_3512134-augustus-gene-0.2-mRNA-1
augustus_masked-SEQ_1718423-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_606655-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1754612-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3442436-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2574942-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1605796-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_335397-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2056049-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_4639563-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_31310-processed-gene-0.2-mRNA-1	genemark-SEQ_1672763-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1483651-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3544635-processed-gene-0.0-mRNA-1
maker-SEQ_1718761-augustus-gene-0.5-mRNA-1	augustus_masked-SEQ_609267-processed-gene-0.3-mRNA-1	maker-SEQ_1746681-augustus-gene-0.13-mRNA-1	maker-SEQ_3403961-augustus-gene-0.2-mRNA-1	maker-SEQ_10988-augustus-gene-0.2-mRNA-1	maker-SEQ_263558-augustus-gene-0.2-mRNA-1	maker-SEQ_1632238-augustus-gene-0.5-mRNA-1	genemark-SEQ_1832365-processed-gene-0.4-mRNA-1	maker-SEQ_2471800-augustus-gene-0.2-mRNA-1	genemark-SEQ_1614986-processed-gene-0.0-mRNA-1	maker-SEQ_3177787-augustus-gene-0.2-mRNA-1	maker-SEQ_1495248-augustus-gene-0.4-mRNA-1	maker-SEQ_3586743-augustus-gene-0.5-mRNA-1
augustus_masked-SEQ_1718056-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_607297-processed-gene-0.5-mRNA-1	genemark-SEQ_1779710-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3524530-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_601883-processed-gene-0.1-mRNA-1	maker-SEQ_1560026-augustus-gene-0.4-mRNA-1	augustus_masked-SEQ_1163415-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2615054-processed-gene-0.0-mRNA-1	genemark-SEQ_1665686-processed-gene-0.2-mRNA-1	genemark-SEQ_249069-processed-gene-0.1-mRNA-1	genemark-SEQ_528497-processed-gene-0.1-mRNA-1	genemark-SEQ_1514762-processed-gene-0.0-mRNA-1	genemark-SEQ_3612099-processed-gene-0.2-mRNA-1
maker-SEQ_1718463-augustus-gene-0.2-mRNA-1	maker-SEQ_607968-augustus-gene-0.25-mRNA-1	maker-SEQ_1769957-augustus-gene-0.2-mRNA-1	genemark-SEQ_3505858-processed-gene-0.1-mRNA-1	maker-SEQ_717640-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1555330-processed-gene-0.1-mRNA-1	genemark-SEQ_1596733-processed-gene-0.1-mRNA-1	maker-SEQ_2006647-augustus-gene-0.2-mRNA-1	maker-SEQ_4858641-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1616106-processed-gene-0.1-mRNA-1	genemark-SEQ_3215279-processed-gene-0.0-mRNA-1	maker-SEQ_1497610-augustus-gene-0.2-mRNA-1	genemark-SEQ_3603976-processed-gene-0.1-mRNA-1
maker-SEQ_1718045-augustus-gene-0.2-mRNA-1	maker-SEQ_614800-augustus-gene-0.7-mRNA-1	maker-SEQ_1780197-augustus-gene-0.3-mRNA-1	maker-SEQ_3515556-augustus-gene-0.2-mRNA-1	maker-SEQ_1726388-augustus-gene-0.2-mRNA-1	maker-SEQ_1567717-augustus-gene-0.2-mRNA-1	maker-SEQ_1623003-augustus-gene-0.4-mRNA-1	genemark-SEQ_2321975-processed-gene-0.1-mRNA-1	maker-SEQ_3792013-augustus-gene-0.2-mRNA-1	maker-SEQ_1659197-augustus-gene-0.4-mRNA-1	genemark-SEQ_2671970-processed-gene-0.0-mRNA-1	maker-SEQ_1511434-augustus-gene-0.2-mRNA-1	maker-SEQ_3498877-augustus-gene-0.2-mRNA-1
maker-SEQ_1718638-augustus-gene-0.5-mRNA-1	maker-SEQ_579935-augustus-gene-0.14-mRNA-1	maker-SEQ_371154-augustus-gene-0.5-mRNA-1	maker-SEQ_60894-augustus-gene-0.2-mRNA-1	genemark-SEQ_434149-processed-gene-0.0-mRNA-1	maker-SEQ_300612-augustus-gene-0.6-mRNA-1	maker-SEQ_1569531-augustus-gene-0.2-mRNA-1	maker-SEQ_1651622-augustus-gene-0.2-mRNA-1	maker-SEQ_3091383-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1609402-processed-gene-0.1-mRNA-1	maker-SEQ_3142399-augustus-gene-0.2-mRNA-1	genemark-SEQ_1462654-processed-gene-0.0-mRNA-1	maker-SEQ_3626057-augustus-gene-0.6-mRNA-1
maker-SEQ_1717891-augustus-gene-0.4-mRNA-1	augustus_masked-SEQ_609432-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1753508-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3435528-processed-gene-0.0-mRNA-1	maker-SEQ_1774473-augustus-gene-0.3-mRNA-1	maker-SEQ_1559736-augustus-gene-0.4-mRNA-1	maker-SEQ_1618123-augustus-gene-0.5-mRNA-1	maker-SEQ_3042302-augustus-gene-0.4-mRNA-1	maker-SEQ_698051-augustus-gene-0.3-mRNA-1	maker-SEQ_1642204-augustus-gene-0.5-mRNA-1	maker-SEQ_3194440-augustus-gene-0.5-mRNA-1	maker-SEQ_1500876-augustus-gene-0.2-mRNA-1	maker-SEQ_3498845-augustus-gene-0.2-mRNA-1
augustus_masked-SEQ_1718757-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_590189-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1722274-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_3514756-processed-gene-0.0-mRNA-1	genemark-SEQ_2556304-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1592909-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_1632910-processed-gene-0.0-mRNA-1	genemark-SEQ_3102042-processed-gene-0.1-mRNA-1	genemark-SEQ_4378100-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1663336-processed-gene-0.3-mRNA-1	genemark-SEQ_3214113-processed-gene-0.0-mRNA-1	genemark-SEQ_1491325-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3623451-processed-gene-0.0-mRNA-1
augustus_masked-SEQ_1718276-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_616180-processed-gene-0.6-mRNA-1	augustus_masked-SEQ_1771873-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1533847-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2544853-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1547533-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_1590589-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3038066-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3151493-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1651348-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_2697143-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1498228-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3612869-processed-gene-0.0-mRNA-1
genemark-SEQ_1718750-processed-gene-0.1-mRNA-1	maker-SEQ_604102-augustus-gene-0.5-mRNA-1	genemark-SEQ_1759674-processed-gene-0.1-mRNA-1	maker-SEQ_1946957-augustus-gene-0.2-mRNA-1	genemark-SEQ_2591687-processed-gene-0.2-mRNA-1	genemark-SEQ_1563278-processed-gene-0.0-mRNA-1	maker-SEQ_1610462-augustus-gene-0.3-mRNA-1	maker-SEQ_3050389-augustus-gene-0.2-mRNA-1	maker-SEQ_959461-augustus-gene-0.2-mRNA-1	maker-SEQ_1623608-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_2127210-processed-gene-0.2-mRNA-1	genemark-SEQ_1472435-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3598940-processed-gene-0.0-mRNA-1
augustus_masked-SEQ_1718131-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_607287-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1746518-processed-gene-0.2-mRNA-1	genemark-SEQ_3509906-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2582527-processed-gene-0.1-mRNA-1	maker-SEQ_1556207-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1584744-processed-gene-0.0-mRNA-1	maker-SEQ_2979106-augustus-gene-0.2-mRNA-1	maker-SEQ_49898-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1619501-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3165590-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_58017-processed-gene-0.1-mRNA-1	genemark-SEQ_3620953-processed-gene-0.1-mRNA-1
genemark-SEQ_1718199-processed-gene-0.2-mRNA-1	genemark-SEQ_606547-processed-gene-0.20-mRNA-1	maker-SEQ_1749849-augustus-gene-0.4-mRNA-1	genemark-SEQ_3534002-processed-gene-0.2-mRNA-1	genemark-SEQ_2555407-processed-gene-0.1-mRNA-1	genemark-SEQ_1594857-processed-gene-0.0-mRNA-1	genemark-SEQ_1581137-processed-gene-0.1-mRNA-1	genemark-SEQ_1043742-processed-gene-0.1-mRNA-1	maker-SEQ_4501275-augustus-gene-0.4-mRNA-1	genemark-SEQ_1659958-processed-gene-0.0-mRNA-1	genemark-SEQ_3199356-processed-gene-0.0-mRNA-1	genemark-SEQ_1531630-processed-gene-0.0-mRNA-1	genemark-SEQ_3588520-processed-gene-0.2-mRNA-1
augustus_masked-SEQ_1717937-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_622908-processed-gene-0.0-mRNA-1	genemark-SEQ_361359-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3506919-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2548349-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1536771-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_62235-processed-gene-0.0-mRNA-1	genemark-SEQ_3053484-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2607709-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_215595-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1360372-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1529403-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3525247-processed-gene-0.0-mRNA-1
maker-SEQ_1718488-augustus-gene-0.7-mRNA-1	augustus_masked-SEQ_621835-processed-gene-0.0-mRNA-1	maker-SEQ_1717564-augustus-gene-0.7-mRNA-1	maker-SEQ_3501980-augustus-gene-0.5-mRNA-1	maker-SEQ_2535048-augustus-gene-0.2-mRNA-1	maker-SEQ_1557056-augustus-gene-0.7-mRNA-1	maker-SEQ_1580857-augustus-gene-0.6-mRNA-1	genemark-SEQ_1862339-processed-gene-0.3-mRNA-1	maker-SEQ_79495-augustus-gene-0.4-mRNA-1	maker-SEQ_1593042-augustus-gene-0.5-mRNA-1	genemark-SEQ_2459450-processed-gene-0.0-mRNA-1	maker-SEQ_1528806-augustus-gene-0.9-mRNA-1	maker-SEQ_3622104-augustus-gene-0.5-mRNA-1
maker-SEQ_1718159-augustus-gene-0.5-mRNA-1	maker-SEQ_617228-augustus-gene-0.44-mRNA-1	maker-SEQ_1785586-augustus-gene-0.5-mRNA-1	maker-SEQ_3445266-augustus-gene-0.2-mRNA-1	maker-SEQ_2505916-augustus-gene-0.2-mRNA-1	maker-SEQ_1575982-augustus-gene-0.3-mRNA-1	maker-SEQ_548450-augustus-gene-0.2-mRNA-1	maker-SEQ_3063529-augustus-gene-0.2-mRNA-1	genemark-SEQ_486764-processed-gene-0.1-mRNA-1	maker-SEQ_1608115-augustus-gene-0.3-mRNA-1	genemark-SEQ_1201214-processed-gene-0.0-mRNA-1	maker-SEQ_1507191-augustus-gene-0.4-mRNA-1	maker-SEQ_3565111-augustus-gene-0.2-mRNA-1
maker-SEQ_1717920-augustus-gene-0.5-mRNA-1	maker-SEQ_621348-augustus-gene-0.10-mRNA-1	genemark-SEQ_1764907-processed-gene-0.1-mRNA-1	maker-SEQ_2350925-augustus-gene-0.2-mRNA-1	genemark-SEQ_2574679-processed-gene-0.0-mRNA-1	maker-SEQ_1570721-augustus-gene-0.5-mRNA-1	maker-SEQ_604649-augustus-gene-0.3-mRNA-1	genemark-SEQ_2823204-processed-gene-0.1-mRNA-1	maker-SEQ_2012447-augustus-gene-0.2-mRNA-1	maker-SEQ_1604467-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_2263615-processed-gene-0.2-mRNA-1	maker-SEQ_1519675-augustus-gene-0.5-mRNA-1	maker-SEQ_3611387-augustus-gene-0.3-mRNA-1
genemark-SEQ_1718073-processed-gene-0.3-mRNA-1	genemark-SEQ_618437-processed-gene-0.3-mRNA-1	genemark-SEQ_1732692-processed-gene-0.0-mRNA-1	genemark-SEQ_3520154-processed-gene-0.2-mRNA-1	genemark-SEQ_460620-processed-gene-0.0-mRNA-1	genemark-SEQ_1572484-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1579391-processed-gene-0.1-mRNA-1	genemark-SEQ_3092207-processed-gene-0.5-mRNA-1	genemark-SEQ_3657256-processed-gene-0.2-mRNA-1	genemark-SEQ_1611778-processed-gene-0.2-mRNA-1	genemark-SEQ_3134562-processed-gene-0.2-mRNA-1	genemark-SEQ_1518332-processed-gene-0.0-mRNA-1	genemark-SEQ_3627820-processed-gene-0.5-mRNA-1
augustus_masked-SEQ_1718223-processed-gene-0.0-mRNA-1	maker-SEQ_616568-augustus-gene-0.54-mRNA-1	augustus_masked-SEQ_1734634-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3467237-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1982693-processed-gene-0.2-mRNA-1	maker-SEQ_1583236-augustus-gene-0.4-mRNA-1	maker-SEQ_1604333-augustus-gene-0.4-mRNA-1	genemark-SEQ_652394-processed-gene-0.1-mRNA-1	genemark-SEQ_1582468-processed-gene-0.1-mRNA-1	maker-SEQ_389573-augustus-gene-0.4-mRNA-1	augustus_masked-SEQ_2295494-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1499379-processed-gene-0.2-mRNA-1	maker-SEQ_3591209-augustus-gene-0.4-mRNA-1
maker-SEQ_1718019-augustus-gene-0.2-mRNA-1	maker-SEQ_621462-augustus-gene-0.12-mRNA-1	augustus_masked-SEQ_1706752-processed-gene-0.1-mRNA-1	genemark-SEQ_3429526-processed-gene-0.1-mRNA-1	genemark-SEQ_1326830-processed-gene-0.0-mRNA-1	maker-SEQ_1598304-augustus-gene-0.3-mRNA-1	maker-SEQ_1619210-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_3079291-processed-gene-0.0-mRNA-1	maker-SEQ_4868857-augustus-gene-0.2-mRNA-1	maker-SEQ_1640664-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_607003-processed-gene-0.1-mRNA-1	maker-SEQ_1487633-augustus-gene-0.2-mRNA-1	maker-SEQ_3598570-augustus-gene-0.2-mRNA-1
maker-SEQ_1718197-augustus-gene-0.6-mRNA-1	genemark-SEQ_612437-processed-gene-0.34-mRNA-1	genemark-SEQ_1773975-processed-gene-0.2-mRNA-1	genemark-SEQ_3523524-processed-gene-0.4-mRNA-1	genemark-SEQ_941403-processed-gene-0.1-mRNA-1	genemark-SEQ_1558403-processed-gene-0.2-mRNA-1	maker-SEQ_1635411-augustus-gene-0.12-mRNA-1	augustus_masked-SEQ_1462847-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_4855631-processed-gene-0.1-mRNA-1	maker-SEQ_1664282-augustus-gene-0.9-mRNA-1	genemark-SEQ_3164347-processed-gene-0.0-mRNA-1	maker-SEQ_1523935-augustus-gene-0.11-mRNA-1	augustus_masked-SEQ_3623180-processed-gene-0.1-mRNA-1
maker-SEQ_1718186-augustus-gene-0.6-mRNA-1	maker-SEQ_609654-augustus-gene-0.8-mRNA-1	maker-SEQ_1777817-augustus-gene-0.3-mRNA-1	maker-SEQ_3538126-augustus-gene-0.3-mRNA-1	maker-SEQ_2592916-augustus-gene-0.3-mRNA-1	maker-SEQ_1608620-augustus-gene-0.10-mRNA-1	augustus_masked-SEQ_1634162-processed-gene-0.0-mRNA-1	maker-SEQ_3025332-augustus-gene-0.3-mRNA-1	genemark-SEQ_2851104-processed-gene-0.3-mRNA-1	genemark-SEQ_1647385-processed-gene-0.3-mRNA-1	maker-SEQ_3198266-augustus-gene-0.3-mRNA-1	maker-SEQ_1518698-augustus-gene-0.7-mRNA-1	maker-SEQ_3624745-augustus-gene-0.4-mRNA-1
augustus_masked-SEQ_1718694-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_588211-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_952126-processed-gene-0.2-mRNA-1	genemark-SEQ_3410665-processed-gene-0.1-mRNA-1	genemark-SEQ_2236171-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1546323-processed-gene-0.2-mRNA-1	genemark-SEQ_1478928-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3094110-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_2262829-processed-gene-0.0-mRNA-1	maker-SEQ_56014-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_3191391-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1524859-processed-gene-0.2-mRNA-1	genemark-SEQ_1962931-processed-gene-0.1-mRNA-1
